map01100 Metabolic pathways (2020)

  ko:K00001 E1.1.1.1; alcohol dehydrogenase [EC:1.1.1.1]
  ko:K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
  ko:K00003 hom; homoserine dehydrogenase [EC:1.1.1.3]
  ko:K00005 gldA; glycerol dehydrogenase [EC:1.1.1.6]
  ko:K00007 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
  ko:K00008 SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]
  ko:K00009 mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
  ko:K00010 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
  ko:K00011 AKR1B; aldehyde reductase [EC:1.1.1.21]
  ko:K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
  ko:K00013 hisD; histidinol dehydrogenase [EC:1.1.1.23]
  ko:K00014 aroE; shikimate dehydrogenase [EC:1.1.1.25]
  ko:K00015 gyaR; glyoxylate reductase [EC:1.1.1.26]
  ko:K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]
  ko:K00018 hprA; glycerate dehydrogenase [EC:1.1.1.29]
  ko:K00019 BDH1; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
  ko:K00020 HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
  ko:K00021 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
  ko:K00023 phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
  ko:K00024 mdh; malate dehydrogenase [EC:1.1.1.37]
  ko:K00029 E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
  ko:K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
  ko:K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
  ko:K00032 E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
  ko:K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
  ko:K00034 gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
  ko:K00035 gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
  ko:K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
  ko:K00038 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
  ko:K00039 rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
  ko:K00040 uxuB; fructuronate reductase [EC:1.1.1.57]
  ko:K00041 uxaB; tagaturonate reductase [EC:1.1.1.58]
  ko:K00042 garR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
  ko:K00043 gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
  ko:K00044 HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
  ko:K00045 E1.1.1.67; mannitol 2-dehydrogenase [EC:1.1.1.67]
  ko:K00048 fucO; lactaldehyde reductase [EC:1.1.1.77]
  ko:K00052 leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
  ko:K00053 ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
  ko:K00055 E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
  ko:K00058 serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
  ko:K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
  ko:K00060 tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
  ko:K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
  ko:K00065 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
  ko:K00066 algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
  ko:K00067 rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
  ko:K00068 srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
  ko:K00073 allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
  ko:K00074 paaH; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
  ko:K00075 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
  ko:K00077 panE; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
