pathway,abundance,relative_abundance,L1
01100 Metabolic pathways (2020),2020,69.7814677,Metabolism
01120 Microbial metabolism in diverse environments (738),738,25.49441741,Metabolism
01110 Biosynthesis of secondary metabolites (672),672,23.21442886,Metabolism
02020 Two-component system (390),390,13.4726596,Environmental Information Processing
02010 ABC transporters (293),293,10.12176734,Environmental Information Processing
01200 Carbon metabolism (258),258,8.912682508,Metabolism
01240 Biosynthesis of cofactors (238),238,8.221776887,Metabolism
01230 Biosynthesis of amino acids (184),184,6.356331711,Metabolism
00680 Methane metabolism (144),144,4.97452047,Metabolism
02024 Quorum sensing (141),141,4.870884626,Cellular Processes
01220 Degradation of aromatic compounds (129),129,4.456341254,Metabolism
00230 Purine metabolism (106),106,3.66179979,Metabolism
00520 Amino sugar and nucleotide sugar metabolism (96),96,3.31634698,Metabolism
00190 Oxidative phosphorylation (95),95,3.281801699,Metabolism
00620 Pyruvate metabolism (89),89,3.074530012,Metabolism
00860 Porphyrin metabolism (85),85,2.936348888,Metabolism
03010 Ribosome (83),83,2.867258326,Genetic Information Processing
01250 Biosynthesis of nucleotide sugars (82),82,2.832713045,Metabolism
00720 Carbon fixation pathways in prokaryotes (82),82,2.832713045,Metabolism
01232 Nucleotide metabolism (78),78,2.694531921,Metabolism
00630 Glyoxylate and dicarboxylate metabolism (77),77,2.65998664,Metabolism
00010 Glycolysis / Gluconeogenesis (74),74,2.556350797,Metabolism
00051 Fructose and mannose metabolism (74),74,2.556350797,Metabolism
"00260 Glycine, serine and threonine metabolism (74)",74,2.556350797,Metabolism
00362 Benzoate degradation (74),74,2.556350797,Metabolism
03070 Bacterial secretion system (74),74,2.556350797,Environmental Information Processing
05111 Biofilm formation - Vibrio cholerae (70),70,2.418169673,Cellular Processes
00240 Pyrimidine metabolism (69),69,2.383624392,Metabolism
00500 Starch and sucrose metabolism (68),68,2.349079111,Metabolism
00650 Butanoate metabolism (67),67,2.31453383,Metabolism
00330 Arginine and proline metabolism (65),65,2.245443267,Metabolism
00640 Propanoate metabolism (64),64,2.210897986,Metabolism
00270 Cysteine and methionine metabolism (62),62,2.141807424,Metabolism
00030 Pentose phosphate pathway (54),54,1.865445176,Metabolism
00920 Sulfur metabolism (54),54,1.865445176,Metabolism
02040 Flagellar assembly (50),50,1.727264052,Cellular Processes
00040 Pentose and glucuronate interconversions (49),49,1.692718771,Metabolism
00540 Lipopolysaccharide biosynthesis (49),49,1.692718771,Metabolism
00910 Nitrogen metabolism (48),48,1.65817349,Metabolism
00627 Aminobenzoate degradation (47),47,1.623628209,Metabolism
00020 Citrate cycle (TCA cycle) (46),46,1.589082928,Metabolism
00052 Galactose metabolism (46),46,1.589082928,Metabolism
"00400 Phenylalanine, tyrosine and tryptophan biosynthesis (46)",46,1.589082928,Metabolism
00360 Phenylalanine metabolism (45),45,1.554537647,Metabolism
02060 Phosphotransferase system (PTS) (45),45,1.554537647,Environmental Information Processing
"00250 Alanine, aspartate and glutamate metabolism (44)",44,1.519992366,Metabolism
"00280 Valine, leucine and isoleucine degradation (44)",44,1.519992366,Metabolism
00350 Tyrosine metabolism (44),44,1.519992366,Metabolism
00541 O-Antigen nucleotide sugar biosynthesis (44),44,1.519992366,Metabolism
